company,bankruptcy_year
FROTO,
THYAO,
MEGAP,2024
SOKM,
AGROT,2024
YGYO,2024
ROYAL,2024
EMNIS,2024
ATEKS,2024
AEFES,
ASELS,
ASTOR,
ENKAI,
ENJSA,
ENERY,
KCHOL,
SMRTG,
KRDMD,
KERVN,2024
CASA,2024
KUVVA,2024
EKIZ,2024
AKSA,
DOHOL,
ISGYO,
ZOREN,
VANGD,2024
DIRIT,2024
SNPAM,2024
ASUZU,
CIMSA,
BAGFS,
KOZAA,
TOASO,
DARDL,2019
ULKER,
TCELL,
TBORG,
TAVHL,
VESTL,
AHGAZ,
KERVT,2019
NUHCM,
LOGO,
PETKM,
BRKO,2024
EMKEL,2021
TUPRS,
CWENE,
DGATE,
EBEBK,
MGROS,
ORMA,
PGSUS,
SISE,
SASA,
VESBE,
YATAS,
YAYLA,
ADEL,
UFUK,2023
BRMEN,2024
NTGAZ,
MMCAS,2024
FRIGO,2019
COSMO,2022
ZEDUR,2022
SELGD,2020
RALYH,2018
SNKRN,2020
DENGE,2021
ETILR,2021
GUBRF,
TTRAK,
MIATK,
GENIL,
BRSAN,
BRYAT,
DOAS,
ATSHY,2024
BIMAS,
AKCNS,
ECILC,
