Model,SMOTE,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,mcc_mean,mcc_std,accuracy_opt_mean,accuracy_opt_std,precision_opt_mean,precision_opt_std,recall_opt_mean,recall_opt_std,f1_opt_mean,f1_opt_std,mcc_opt_mean,mcc_opt_std,oof_threshold,best_params
Logistic Regression,No SMOTE,0.7021476104053237,0.08254089891549754,0.4760711437348939,0.1136170067515089,0.65125,0.13188075948455188,0.5468702587905185,0.11422641970340278,0.7219613821138211,0.11718718548588974,0.3461903091447448,0.1749852142416017,0.7614035087719297,0.057550141688024005,0.579653720462544,0.13358923877395082,0.57375,0.1150037740926599,0.5680402177815971,0.09847346672112288,0.4108172568083357,0.13769034698220511,0.5512227928520883,"{""C"": 95.33017051280255}"
Random Forest,No SMOTE,0.8221718088324259,0.03780579528476256,0.732695866225278,0.13223419562330435,0.5933333333333334,0.07059272861515789,0.6471607473912814,0.05956483037934766,0.8711278068137824,0.044603073992528976,0.5417774566231943,0.09359260787249324,0.8012099213551119,0.06546471219239189,0.6266996415737833,0.1299161164892313,0.8029166666666667,0.07692100023906201,0.6943665204346318,0.0766056743049367,0.5714373450632912,0.11721808639488024,0.33403379624415913,"{""n_estimators"": 359, ""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 1}"
XGBoost,No SMOTE,0.8168784029038113,0.03824844448031048,0.6704597277507494,0.08831357686474159,0.6745833333333333,0.08456280539076004,0.6679727358522425,0.0671608321293846,0.8923417537746807,0.027619199636399576,0.5457346823690653,0.0917845982457222,0.8048094373865698,0.028353252349008456,0.6006168054045432,0.040959659875104665,0.8791666666666668,0.05883711036034618,0.7119317003527531,0.03173714666351248,0.5985900353989956,0.050366556187443054,0.15641207993030548,"{""n_estimators"": 497, ""max_depth"": 7, ""learning_rate"": 0.0727188969340107, ""subsample"": 0.8375487748549028, ""colsample_bytree"": 0.9532320591005724, ""min_child_weight"": 2, ""gamma"": 0.4004727014362408}"
CatBoost,No SMOTE,0.8324863883847551,0.04522152890595336,0.7129051796157059,0.11126718160027836,0.6941666666666666,0.06824180862524414,0.6965216714410263,0.06139806650687108,0.9089752710027099,0.03456873537737243,0.5872543684402276,0.09342076422974428,0.8097096188747731,0.092412020697402,0.63480484562326,0.1285371509550258,0.8979166666666668,0.07081494859451953,0.7325159747650509,0.0869608670134039,0.6304615592453443,0.12081523276615329,0.0994863610295516,"{""iterations"": 688, ""depth"": 5, ""learning_rate"": 0.10416271063735588, ""l2_leaf_reg"": 9.172284927370816}"
LightGBM,No SMOTE,0.836085904416213,0.0382465905527879,0.7501288907171261,0.11058590185980391,0.62375,0.05502682426679636,0.6770844757763557,0.06370266533068089,0.8961931378242355,0.028390294043578356,0.575920143358888,0.09365651508506577,0.8168481548699335,0.050751162262248,0.6453900418211946,0.09962601312301488,0.8079166666666666,0.11232161783616426,0.7084857104845413,0.06634597272436678,0.5962634937761366,0.09625655868898932,0.03807067237633903,"{""n_estimators"": 215, ""max_depth"": 6, ""learning_rate"": 0.15529154387671362, ""num_leaves"": 90, ""min_child_samples"": 11, ""subsample"": 0.7613038159695426, ""colsample_bytree"": 0.6744009621247895}"
Logistic Regression,SMOTE,0.705535390199637,0.07128804490933947,0.48469275822216995,0.11775041187767668,0.63875,0.10889358337386093,0.5456311422871115,0.09544690087295267,0.7201555845915601,0.09066307342249949,0.3476167165260816,0.14877350453313506,0.72994555353902,0.06108152881662005,0.5194770894627874,0.12075205091565848,0.6258333333333332,0.10744507640857466,0.5607835721187113,0.08710440076343652,0.37917305375295285,0.13520343930726486,0.5234160120857531,"{""C"": 55.86540589821548}"
Random Forest,SMOTE,0.8029340592861465,0.048832029053887414,0.6386276825170014,0.10696320863678205,0.6808333333333334,0.05951773778556366,0.6563474253759211,0.07534101026263533,0.8720758323654666,0.03932697028989719,0.5216088826850116,0.1102542177355968,0.7926194797338172,0.05767915404345369,0.5909325636224949,0.09161010145599086,0.86,0.0732954447576534,0.6971195872466661,0.07361863613227806,0.5747218263739703,0.10956685413405395,0.3866310556354624,"{""n_estimators"": 195, ""max_depth"": null, ""min_samples_split"": 4, ""min_samples_leaf"": 1}"
XGBoost,SMOTE,0.8150937689050213,0.045249896057996244,0.6462425065399893,0.09359287184580803,0.76375,0.10580462208975351,0.6930844301352469,0.06928769505984582,0.8882179152148664,0.029482842435860634,0.5735466400962292,0.09941154721318055,0.8203871748336358,0.0435791770708038,0.6477780543255371,0.08200730810264537,0.7966666666666666,0.08781293248212994,0.7092960210532366,0.056965533220620874,0.5938234334612361,0.08856161835146069,0.47037532925605774,"{""n_estimators"": 226, ""max_depth"": 4, ""learning_rate"": 0.09139454836043566, ""subsample"": 0.8325082262787601, ""colsample_bytree"": 0.8058391776708448, ""min_child_weight"": 1, ""gamma"": 0.0420479040643629}"
CatBoost,SMOTE,0.8185420447670901,0.047247283679858684,0.682676996206408,0.09169353610601143,0.6566666666666666,0.11596814696765276,0.662605824118616,0.08245830546353568,0.8938525938830816,0.04320117613104039,0.5448440192615303,0.11181684414924538,0.8203871748336358,0.05171207268812326,0.6369761891277237,0.07813049682305755,0.82125,0.11215146628060146,0.7140549384396133,0.08046833923114835,0.6004884842287428,0.11568552338417698,0.15554706639018165,"{""iterations"": 750, ""depth"": 8, ""learning_rate"": 0.06768954527554034, ""l2_leaf_reg"": 1.0652200047712017}"
LightGBM,SMOTE,0.8430732002419843,0.04249473064796642,0.7296566737356212,0.10804827415946014,0.7070833333333333,0.05755583038329925,0.7138337620415747,0.06280430231942082,0.8951979287650019,0.032646618713835014,0.6098379027084346,0.09546179862021878,0.8448275862068965,0.03225495798561021,0.7107728219492925,0.0811809297955362,0.7575000000000001,0.05709397710986881,0.7288868994097025,0.04210000960510135,0.6254257341617174,0.06362010411731309,0.33636949123489934,"{""n_estimators"": 243, ""max_depth"": 8, ""learning_rate"": 0.19897536592950987, ""num_leaves"": 31, ""min_child_samples"": 26, ""subsample"": 0.6190649867202217, ""colsample_bytree"": 0.8423497931578285}"
