Current Assets,Cash,Accounts Receivable,Inventory,Non-Current Assets,Total Assets,Current Liabilities,Long-Term Liabilities,Equity,Retained Earnings,Revenue,COGS,Gross Profit,Operating Income,EBIT,Pretax Income,Tax Expense,Net Income,Interest Expense,SGA Expense,Admin Expense,RD Expense,CFO,company,year,short_term_liabilities_to_assets,equity_to_assets,equity_to_short_term_liabilities,equity_to_long_term_liabilities,fixed_assets_to_total_liabilities,gross_profit_to_long_term_liabilities,current_assets_to_total_liabilities,quick_ratio,working_capital_to_total_assets,operating_income_to_assets,ebit_to_current_liabilities,net_operating_profit_margin,return_on_assets,sales_to_current_assets,asset_turnover,debt_ratio,working_capital_to_net_sales,inventories_to_current_assets,inventories_to_total_assets,operating_income_to_assets_trend_1yr,short_term_liabilities_to_assets_trend_1yr,asset_turnover_trend_1yr,gross_profit_to_long_term_liabilities_trend_1yr,bankruptcy_label,gdp_growth,inflation_rate,interest_rate,usdtry_avg,usdtry_change,unemployment_rate,industrial_prod_growth,credit_growth,m2_growth,gdp_growth_lag1,inflation_rate_lag1,interest_rate_lag1,usdtry_avg_lag1,usdtry_change_lag1,unemployment_rate_lag1,industrial_prod_growth_lag1,credit_growth_lag1,m2_growth_lag1,stl_ta_x_interest,oi_ta_x_unemployment,gp_ltl_x_inflation,margin_x_usdtry,turnover_x_gdp,roa_x_gdp,debt_ratio_x_interest,roa_x_inflation,wc_ta_x_credit,cfo_x_interest,log_assets_x_gdp
341287000.0,59155000.0,77794000.0,158379000.0,124745000.0,466032000.0,266216000.0,11035000.0,188781000.0,93523000.0,385115000.0,-210841000.0,174274000.0,66571000.0,66182000.0,21357000.0,-7527000.0,13830000.0,-49319000.0,-72721000.0,-29799000.0,0.0,7683000.0,ADEL,2018,0.5712397431936005,0.405081625296117,0.7091271749256243,17.10747621205256,0.4499352572217954,15.792840960579973,1.2309676069698576,0.6870661417796076,0.1610855048580355,0.14284641398015588,0.2486026384589957,0.17286005478882932,0.029676073746008856,1.128419775731276,0.8263702921687781,0.594918374703883,0.19493138413201253,0.46406396962087626,0.3398457616644351,-0.022475344645242597,-0.06639626081577812,0.06731344843530868,-2.024287840680893,0,3.0,16.3,24.0,4.83,39.0,10.9,1.9,14,20,3.75,17.950000000000003,13.0,7.95,32.9,11.45,2.05,35.5,39.0,13.709753836646412,1.5570259123836991,257.42330765745356,6.741542136764344,2.4791108765063345,0.08902822123802656,14.278040992893192,0.48372000205994437,2.255197068012497,0.3956638170769389,59.87929457778051
261640000.0,13421000.0,82018000.0,137387000.0,127881000.0,389521000.0,166702000.0,59600000.0,163219000.0,85460000.0,347114000.0,-195290000.0,151824000.0,50880000.0,47959000.0,-17916000.0,3243000.0,-14673000.0,-69762000.0,-64314000.0,-32191000.0,-1492000.0,105210000.0,ADEL,2019,0.42796665648321913,0.41902490494735845,0.9791064294369594,2.7385738255033556,0.5650900124612244,2.5473825503355703,1.1561541656724201,0.7453599836834591,0.24373011981382262,0.13062196903376197,0.2876930090820746,0.1465800860812298,-0.037669342602837844,1.3266855220914233,0.8911303883487668,0.5809750950526416,0.2735066865640683,0.5250993731845284,0.35270755620364497,-0.012224444946393909,-0.14327308671038136,0.06476009617998868,-13.245458410244403,0,0.9,15.2,12.0,5.67,17.4,13.7,-0.6,8,25,3.0,16.3,24.0,4.83,39.0,10.9,1.9,14.0,20.0,5.135599877798629,1.789520975762539,38.720214765100664,2.5504934978133984,0.8020173495138901,-0.03390240834255406,6.971701140631699,-0.5725740075631351,1.949840958510581,3.2412116419910606,17.802385503387928
513831000.0,279347000.0,59496000.0,139751000.0,120588000.0,634419000.0,409440000.0,79590000.0,145389000.0,55332000.0,391147000.0,-242358000.0,148789000.0,34800000.0,35022000.0,3725000.0,-1810000.0,1915000.0,-38827000.0,-74414000.0,-35070000.0,-2176000.0,90521000.0,ADEL,2020,0.6453778969419264,0.22916873548869124,0.35509232121922624,1.8267244628722201,0.24658609901233053,1.869443397411735,1.0507146800809766,0.9136381398983978,0.16454582854548808,0.05485333825121883,0.08553634232121923,0.08896910880052768,0.0030185098491690822,0.7612366712012315,0.6165436407169395,0.7708312645113088,0.26688431714930705,0.2719785299057472,0.22028186419385296,-0.07576863078254314,0.21741124045870724,-0.27458674763182733,-0.6779391529238352,0,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34,36,0.9,15.2,12.0,5.67,17.4,13.7,-0.6,8.0,25.0,6.6151234436547455,0.7240640649160885,22.994153788164343,2.0996709676924534,1.171432917362185,0.005735168713421256,7.901020461240915,0.03712767114477971,5.594558170546595,1.4625038815041793,38.50961833705063
592411000.0,342560000.0,92569000.0,113968000.0,115846000.0,708257000.0,548312000.0,28680000.0,131265000.0,78436000.0,486155000.0,-332290000.0,153865000.0,37150000.0,37772000.0,-13776000.0,1078000.0,-12698000.0,-65465000.0,-73567000.0,-39383000.0,-1334000.0,41003000.0,ADEL,2021,0.7741709577173258,0.18533526671815456,0.23939837172996395,4.576882845188284,0.200775747324053,5.364888423988843,1.0267230741500748,0.8725743737142357,0.062264121639461385,0.05245271137454342,0.06888778651570639,0.07641595787351771,-0.017928520297010832,0.8206380367683922,0.6864104414075681,0.8146647332818454,0.09070975306229495,0.19237995243167327,0.1609133407788416,-0.002400626876675409,0.12879306077539943,0.06986680069062867,3.4954450265771078,0,11.4,19.6,14.0,8.89,26.8,12.0,17.0,37,42,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34.0,36.0,10.838393408042561,0.629432536494521,105.15181311018132,2.0479476710102746,7.825079032046277,-0.20438513138592349,11.405306265945836,-0.3513989978214123,2.303772500660071,0.8104995785428171,232.31282041361612
1156436000.0,481745000.0,92978000.0,493060000.0,749680000.0,1906116000.0,1001884000.0,211548000.0,692684000.0,127565000.0,1675122000.0,-1253242000.0,421880000.0,-7164000.0,-6465000.0,-11951000.0,-7476000.0,-19427000.0,-103816000.0,-282259000.0,-145648000.0,-10152000.0,104720000.0,ADEL,2022,0.5256154399837156,0.36340075840085284,0.6913814373719912,3.2743585380150133,0.6178178917318812,1.9942518955508914,0.9530290943373836,0.6621285498121539,0.08108215869338488,-0.0037584281334399373,-0.00645284284408175,-0.004276703428168217,-0.010191929557277732,1.4485211460037564,0.8788143009134806,0.6365992415991472,0.0922631306854068,0.4263616836556455,0.25867260964180566,-0.05621113950798336,-0.24855551773361018,0.19240385950591243,-3.3706365284379514,0,5.5,72.3,9.0,16.55,86.2,10.4,8.5,54,72,11.4,19.6,14.0,8.89,26.8,12.0,17.0,37.0,42.0,4.73053895985344,-0.03908765258777535,144.18441204832945,-0.3686518355081003,4.833478655024143,-0.05605561256502752,5.7293931743923245,-0.73687650699118,4.378436569442783,0.4944504951430029,117.52583425421967
2639716000.0,1146378000.0,171023000.0,888797000.0,1159167000.0,3798883000.0,2036566000.0,158510000.0,1603807000.0,123742000.0,3265499000.0,-1740926000.0,1524573000.0,556600000.0,555499000.0,637865000.0,-8422000.0,629443000.0,-232894000.0,-575010000.0,-410976000.0,-17878000.0,356774000.0,ADEL,2023,0.5360960050625407,0.42217857196444325,0.7875055362801893,10.118017790675667,0.5280760210580409,9.618150274430635,1.2025624625297713,0.8597408578951038,0.15877035433836736,0.14651675242433104,0.27276258171844175,0.17044868180942638,0.16569159934643946,1.2370645175465846,0.859594517651636,0.5778214280355568,0.18470377727875587,0.336701751248998,0.2339627200943014,0.15027518055777098,0.01048056507882511,-0.019219783261844592,7.623898378879743,0,4.5,53.9,40.0,23.75,43.5,9.4,1.6,60,70,5.5,72.3,9.0,16.55,86.2,10.4,8.5,54.0,72.0,21.44384020250163,1.377257472788712,518.4182997918111,7.414517658710047,3.8681753294323618,0.7456121970589775,23.112857121422273,8.930777204773086,9.526221260302043,3.7566200380480264,99.260878108947
1792338000.0,659335000.0,131206000.0,789434000.0,1049595000.0,2841933000.0,826787000.0,566060000.0,1449086000.0,554502000.0,2711979000.0,-1324068000.0,1387911000.0,323385000.0,278327000.0,76277000.0,-57633000.0,18644000.0,-464202000.0,-581457000.0,-433542000.0,-18964000.0,372912000.0,ADEL,2024,0.29092417027424644,0.5098944978646576,1.7526714861264148,2.559951241917818,0.7535608720842992,2.451879659400064,1.2868161398918905,1.213013750820949,0.33975150012333155,0.11379050808023976,0.33663688471153996,0.11924317998037595,0.006560323554425808,1.5130957442178874,0.9542726728603383,0.4901055021353424,0.35603188667758856,0.44044929025663687,0.27778065140874186,-0.032726244344091285,-0.2451718347882943,0.09467815520870237,-7.166270615030571,0,3.2,65.0,47.5,32.5,36.8,9.8,3.0,45,60,4.5,53.9,40.0,23.75,43.5,9.4,1.6,60.0,70.0,13.818898088026707,1.1151469791863498,159.37217786100416,4.388149023277835,3.053672553153083,0.020993035374162586,23.28001135142876,0.42642103103767753,15.28881750554992,6.232842223937017,69.65680093246787
42397228.0,8184417.0,8608963.0,7601798.0,641933120.0,684330348.0,132773786.0,79970062.0,471586500.0,-28204588.0,37938739.0,-32872542.0,5066197.0,1943147.0,20339892.0,19807606.0,2968524.0,22776130.0,-578797.0,-2588083.0,-10416184.0,-1537718.0,598225278.0,AGROT,2020,0.1940200173615565,0.6891211260442304,3.551804269556643,5.897038069071399,3.017399215229011,0.06335117009162754,0.19928768045974238,0.26206551043140397,-0.13206568766697455,0.002839486814634151,0.15319207663476583,0.0512180175519276,0.03328236145973173,0.8948400824695426,0.055439217493244944,0.3108788739557697,-2.382170846532353,0.17929941080110237,0.011108374810815785,-0.018096606595630685,-0.018095211987041296,0.07668469784770317,0.002284829100782468,1,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34,36,0.9,15.2,12.0,5.67,17.4,13.7,-0.6,8.0,25.0,1.9887051779559541,0.03748122595317079,0.7792193921270187,1.2087452142254913,0.10533451323716539,0.06323648677349028,3.186508458046639,0.40937304595470025,-4.490233380677134,8.960305673160063,38.653507515427265
53446690.0,1265455.0,11282874.0,10558667.0,988424488.0,1041871178.0,115480012.0,134728120.0,791663046.0,-20938010.0,206690394.0,-175913738.0,30776656.0,18848537.0,62012513.0,61969001.0,-3844577.0,58124424.0,-374520.0,-5381.0,-7614160.0,-1537718.0,306572749.0,AGROT,2021,0.11083905039169824,0.7598473426625494,6.855411878550896,5.876004549013228,3.950409125791323,0.22843528136516714,0.2136089245892296,0.37138914568176523,-0.05954029952059966,0.018091043689472328,0.5369978052998471,0.09119212864822349,0.05578849403587206,3.8672253417377203,0.19838382936820237,0.2401526573374506,-0.30012677802530097,0.19755511519983746,0.010134330637947641,0.015251556874838177,-0.08318096696985826,0.14294461187495744,0.1650841112735396,1,11.4,19.6,14.0,8.89,26.8,12.0,17.0,37,42,1.9,12.3,10.25,7.01,23.6,13.2,2.2,34.0,36.0,1.5517467054837752,0.21709252427366793,4.477331514757276,2.4439490477723895,2.261575654797507,0.6359888320089415,3.362137202724308,1.0934544831030926,-2.202991082262187,4.1195289558149195,236.7128392310696
920765562.0,2014362.0,496177033.0,49012945.0,3279604622.0,4200370184.0,392052797.0,737186692.0,3071130695.0,166717357.0,877073473.0,-490345886.0,386727587.0,314718501.0,352596505.0,398087427.0,-60365930.0,337721497.0,44808248.0,-3564.0,-45173684.0,-5663917.0,700314996.0,AGROT,2022,0.09333767735363012,0.7311571505527095,7.833462019657521,4.166014834950385,2.9042595959022472,0.5245992517184507,0.8153855501594135,2.223559234038573,0.12587289734937324,0.07492637248945866,0.8993597487330258,0.3588279781436281,0.08040279361244032,0.9525480851986947,0.20880861318865127,0.26884284944729053,0.6028146800422044,0.053230645261687144,0.011668720339626142,0.05683532879998633,-0.01750137303806812,0.010424783820448896,0.29616397035328357,0,5.5,72.3,9.0,16.55,86.2,10.4,8.5,54,72,11.4,19.6,14.0,8.89,26.8,12.0,17.0,37.0,42.0,0.840039096182671,0.77923427389037,37.92852589924398,30.930971715980743,1.148447372537582,0.4422153648684218,2.419585645025615,5.813121978179435,6.797136456866155,1.500542735020995,121.87141173569634
